"","ACKG.292","ACKG.339","ACKG.348","ACKG.354","ACKG.382","ACKG.396","ACKG.397","ACKG.415","ACKG.416","ACKG.419","ACKG.420","ACKG.426","ACKG.433","ACKG.435","ACKG.440","HACKG.182","HACKG.185","HACKG.251","HACKG.271","HACKG.282","HACKG.306","HACKG.307","HACKG.320","HACKG.321","HACKG.328","HACKG.331","HACKG.342","HACKG.344","HACKG.353","HACKG.356","HACKG.358","HACKG.364","HACKG.367","HACKG.389","HACKG.395","HACKG.396","HACKG.417","HACKG.419"
"ENSMUSG00000024150",18,6,8,8,12,2,20,15,0,16,4,7,1,0,7,6,7,16,5,0,8,20,7,13,2,8,11,8,7,3,0,11,8,0,15,0,10,9
"ENSMUSG00000024163",1,0,6,0,7,5,4,4,0,3,2,11,5,5,7,4,7,5,7,0,8,11,5,8,2,3,9,0,3,3,4,6,3,7,4,20,12,4
"ENSMUSG00000024188",0,2,9,5,5,2,3,1,3,3,0,5,3,11,1,2,6,2,4,6,0,6,7,2,15,2,0,5,7,0,4,3,3,7,0,7,0,4
"ENSMUSG00000024190",31,16,0,3,43,23,16,65,26,27,7,18,32,14,33,166,30,52,17,6,52,15,63,13,0,30,7,11,9,3,4,0,31,0,4,4,42,14
"ENSMUSG00000024197",0,0,4,3,7,11,5,3,0,0,0,4,3,0,2,7,8,5,11,0,4,8,3,0,0,2,0,7,9,0,0,0,4,5,9,0,2,2
"ENSMUSG00000024213",3,0,0,2,2,0,1,4,13,4,2,0,27,16,5,2,0,1,0,12,0,2,3,6,0,3,0,4,0,0,26,6,1,10,0,0,0,4
"ENSMUSG00000024236",0,0,2,0,3,9,3,6,0,6,0,4,10,5,4,24,3,8,4,6,6,5,2,6,0,0,0,0,3,0,0,6,8,0,7,0,8,0
"ENSMUSG00000024240",3,8,4,15,5,2,9,11,13,14,11,13,15,5,2,17,4,7,11,6,0,10,12,10,2,2,5,19,9,3,11,3,10,7,2,7,4,15
"ENSMUSG00000024241",23,36,28,12,25,7,10,12,26,10,27,11,20,9,11,14,17,17,7,61,8,23,3,8,17,16,4,23,10,9,8,22,7,5,15,11,2,24
"ENSMUSG00000024242",16,4,0,0,6,0,2,2,13,0,0,2,0,7,5,1,3,1,0,0,4,3,0,4,0,3,4,1,0,0,6,6,4,0,0,0,0,2
"ENSMUSG00000024256",1,2,13,5,1,7,36,2,3,62,5,13,3,5,5,2,3,1,2,9,12,1,9,6,42,5,14,0,14,3,11,0,12,14,20,2,18,5
"ENSMUSG00000024259",5,0,11,2,4,2,7,1,3,3,0,5,4,0,0,2,4,6,0,3,2,2,3,2,12,0,0,8,0,0,0,3,5,0,9,0,4,0
"ENSMUSG00000024261",14,38,24,17,2,34,23,5,35,14,12,35,42,20,10,5,18,7,16,35,12,5,12,21,37,22,18,1,16,31,11,25,4,14,11,2,24,12
"ENSMUSG00000024277",15,14,24,27,24,14,19,22,3,23,23,22,14,14,21,7,5,18,12,17,16,15,7,2,20,6,18,39,4,6,13,8,15,5,9,9,6,27
"ENSMUSG00000024283",28,18,32,22,37,41,32,33,22,30,28,22,44,16,28,80,37,42,36,9,24,31,23,23,17,24,25,11,51,0,19,8,33,19,7,4,16,11
"ENSMUSG00000024286",6,4,2,7,4,2,7,2,6,3,4,4,1,0,2,1,7,5,0,3,6,2,2,4,2,3,2,5,3,0,23,3,3,5,4,11,4,4
"ENSMUSG00000024290",11,18,36,20,26,14,38,56,13,19,30,24,51,34,29,106,50,40,29,29,8,30,21,23,5,22,28,51,26,9,21,17,49,22,4,15,14,31
"ENSMUSG00000024293",3,6,4,0,3,11,9,1,0,1,0,5,5,11,0,5,7,6,4,0,0,3,0,0,2,6,7,5,3,3,8,0,3,0,0,4,6,7
"ENSMUSG00000024294",11,18,0,7,9,7,16,12,6,14,7,5,6,2,5,15,13,11,10,6,2,8,12,10,12,2,0,8,4,9,9,17,8,10,7,9,6,7
"ENSMUSG00000024298",1,2,8,3,1,0,2,3,0,0,0,2,3,0,2,5,3,5,0,3,0,7,5,2,7,0,4,6,1,3,2,3,6,7,0,2,6,4
"ENSMUSG00000024331",21,8,4,3,15,5,12,9,0,16,4,13,8,5,2,7,16,7,8,0,4,5,9,2,2,3,0,2,4,9,6,0,3,10,13,4,0,5
"ENSMUSG00000024335",13,8,11,7,18,2,19,14,3,3,25,35,20,9,19,28,18,9,8,6,10,21,17,10,5,8,2,34,23,0,8,8,18,0,9,4,4,24
"ENSMUSG00000024338",0,2,6,3,2,5,2,5,0,14,0,4,5,0,2,6,4,11,14,0,6,5,7,8,0,8,0,4,3,0,4,0,5,0,9,2,6,7
"ENSMUSG00000024359",4,4,4,3,2,7,2,1,3,1,9,9,13,2,7,2,2,3,1,0,2,2,2,0,0,2,7,15,3,0,2,11,1,7,20,9,6,5
"ENSMUSG00000024360",14,12,13,8,16,7,7,28,6,17,9,4,8,7,7,69,10,26,3,0,10,10,16,6,12,3,11,0,1,6,2,0,11,5,7,9,18,2
"ENSMUSG00000024378",3,4,4,0,3,0,6,7,0,0,11,7,5,9,4,2,3,5,4,6,4,0,0,2,5,0,0,2,0,11,4,0,3,2,24,2,0,0
"ENSMUSG00000024382",3,2,4,3,5,0,6,1,10,1,4,2,3,9,1,3,0,5,4,6,2,5,0,2,2,2,2,1,1,0,6,0,4,2,0,7,0,6
"ENSMUSG00000024383",11,10,11,3,2,11,20,5,6,4,7,13,3,7,5,14,8,7,8,29,16,3,5,12,7,11,14,8,10,11,2,11,25,14,4,11,8,18
"ENSMUSG00000024384",10,8,6,34,18,0,6,14,6,9,5,11,18,2,12,14,14,12,20,23,10,9,10,6,10,16,11,12,10,9,11,3,17,24,2,4,4,14
"ENSMUSG00000024387",28,51,39,7,64,18,21,31,13,37,16,7,17,0,18,24,27,39,17,6,38,20,23,4,2,13,5,13,4,17,4,11,33,0,35,11,12,8
"ENSMUSG00000024393",1,0,8,2,8,0,1,3,0,0,0,0,0,0,2,2,4,2,3,0,0,3,0,0,2,0,0,4,1,6,2,0,3,0,4,2,2,5
"ENSMUSG00000024401",1,8,0,3,4,0,0,1,0,3,0,0,1,0,0,10,1,3,2,0,0,0,0,0,2,3,0,0,3,0,0,0,6,0,2,0,0,0
"ENSMUSG00000024404",45,24,23,7,26,20,33,20,3,53,12,5,31,2,27,22,23,27,10,0,10,8,26,31,0,13,5,7,9,6,17,17,34,0,9,4,6,32
"ENSMUSG00000024413",34,6,8,17,14,11,15,15,10,29,4,20,12,20,36,7,12,14,25,14,14,40,5,0,0,29,18,15,35,3,26,20,8,12,13,15,28,7
"ENSMUSG00000024421",46,8,11,37,61,7,22,49,6,43,12,31,27,14,23,22,22,36,24,23,8,54,23,6,5,38,37,44,42,29,19,0,50,7,42,20,46,25
"ENSMUSG00000024422",5,4,4,0,9,0,6,2,0,14,4,11,0,0,4,3,4,5,5,0,4,9,0,4,2,3,7,5,4,3,8,0,4,0,2,0,0,5
"ENSMUSG00000024429",14,16,21,12,32,11,13,27,16,24,14,11,8,20,19,17,27,22,25,26,30,24,9,8,2,18,23,18,17,14,21,6,12,26,15,15,18,24
"ENSMUSG00000024431",6,0,4,0,3,7,2,9,0,3,5,11,4,5,8,10,4,1,3,6,2,3,3,0,5,6,0,2,3,9,15,3,3,2,9,9,2,1
"ENSMUSG00000024456",18,18,13,22,33,14,20,26,16,17,25,25,12,5,8,52,17,27,21,43,6,41,19,10,5,18,16,7,23,9,8,8,18,14,13,9,16,5
"ENSMUSG00000024457",5,0,9,5,23,11,9,7,0,6,4,9,12,0,8,9,9,8,17,0,6,5,5,12,7,8,0,2,7,0,4,6,9,5,7,7,12,1
"ENSMUSG00000024472",3,4,0,5,3,5,5,1,6,1,2,0,4,5,2,2,3,3,8,3,2,1,5,4,2,5,0,1,1,9,2,0,4,2,2,0,0,0
"ENSMUSG00000024474",3,0,0,0,2,2,2,9,6,3,0,11,3,0,5,12,6,7,3,0,2,2,10,4,0,3,7,5,6,6,8,0,4,0,0,0,2,4
"ENSMUSG00000024479",18,24,17,22,36,23,12,27,6,17,11,7,19,0,4,12,27,22,11,14,18,25,26,10,10,8,9,12,4,26,6,6,14,5,4,0,26,6
