"","ACKG.292","ACKG.339","ACKG.348","ACKG.354","ACKG.382","ACKG.396","ACKG.397","ACKG.415","ACKG.416","ACKG.419","ACKG.420","ACKG.426","ACKG.433","ACKG.435","ACKG.440","HACKG.182","HACKG.185","HACKG.251","HACKG.271","HACKG.282","HACKG.306","HACKG.307","HACKG.320","HACKG.321","HACKG.328","HACKG.331","HACKG.342","HACKG.344","HACKG.353","HACKG.356","HACKG.358","HACKG.364","HACKG.367","HACKG.389","HACKG.395","HACKG.396","HACKG.417","HACKG.419"
"ENSMUSG00000073608",4,0,11,7,0,23,17,2,6,4,11,0,0,2,4,4,12,6,2,6,6,4,10,6,10,2,16,0,6,9,8,0,9,0,0,7,2,12
"ENSMUSG00000073639",5,2,0,0,6,0,6,4,0,1,5,0,5,5,2,3,5,3,2,0,10,3,3,8,2,6,0,5,1,0,0,3,3,2,9,4,2,4
"ENSMUSG00000073664",24,28,75,34,32,419,113,33,70,155,103,102,799,117,305,20,29,25,35,12,82,24,85,23,113,145,37,63,428,23,45,25,34,43,118,113,79,48
"ENSMUSG00000073678",1,4,6,5,2,11,2,4,0,3,0,4,9,5,10,2,8,5,5,3,2,1,2,4,5,3,2,1,1,3,9,14,5,7,7,2,6,0
"ENSMUSG00000073725",4,2,0,7,8,11,2,4,0,4,0,0,3,0,4,3,7,5,2,6,4,3,3,4,0,2,0,5,3,3,0,0,4,0,9,0,0,4
"ENSMUSG00000073802",6,6,19,2,12,0,16,5,0,14,0,2,4,16,7,11,14,18,7,0,6,20,5,6,0,5,9,21,17,9,6,22,3,2,4,17,14,32
"ENSMUSG00000073889",11,14,28,3,25,11,28,5,0,13,7,11,1,14,18,4,12,9,10,0,32,10,21,4,0,2,0,26,4,0,2,25,13,0,11,28,6,35
"ENSMUSG00000073898",19,77,45,124,2,86,23,29,169,24,126,69,51,36,12,5,66,38,21,179,188,13,162,69,59,86,34,18,48,254,79,59,18,19,85,102,117,39
"ENSMUSG00000073902",3,0,0,5,1,0,0,5,0,3,0,0,14,5,0,37,3,13,4,0,0,1,3,4,0,6,2,0,0,3,0,0,6,0,0,0,2,1
"ENSMUSG00000073910",1,14,6,2,1,11,2,1,10,3,4,5,1,9,1,1,4,3,5,0,0,2,12,8,5,5,5,0,0,0,4,17,4,5,2,2,8,1
"ENSMUSG00000073917",0,12,9,3,0,5,4,1,19,3,0,7,26,0,0,0,7,3,0,12,4,0,33,44,2,2,18,1,4,9,2,3,0,0,9,7,30,2
"ENSMUSG00000073920",4,4,6,5,1,0,1,2,3,4,14,5,0,7,0,1,7,2,1,12,2,0,3,4,7,2,4,4,4,11,4,8,1,5,4,4,6,1
"ENSMUSG00000073926",3,2,6,7,0,0,18,3,13,7,2,5,9,5,2,2,4,1,29,6,6,6,10,2,2,0,2,2,0,0,8,11,2,0,0,0,10,9
"ENSMUSG00000073940",5,0,4,0,118,32,2,25,0,4,0,0,15,16,52,340,104,97,68,0,0,25,720,689,0,76,14,1,14,20,0,0,1262,0,2,0,46,0
"ENSMUSG00000073987",35,12,4,15,43,16,31,24,0,14,4,4,10,0,30,10,5,29,12,0,12,48,2,0,0,3,11,21,16,0,6,6,4,0,9,11,6,48
"ENSMUSG00000074024",21,24,30,27,6,63,23,22,118,19,116,76,32,23,31,15,27,20,17,63,84,30,31,50,15,45,18,32,69,80,49,42,16,17,63,37,30,44
"ENSMUSG00000074093",0,0,6,0,0,0,2,0,3,6,0,4,5,18,6,2,3,2,0,6,0,4,12,38,0,3,4,4,1,0,13,11,0,0,0,0,14,1
"ENSMUSG00000074115",177,144,98,57,439,68,207,212,19,211,71,71,96,50,174,80,117,243,134,35,186,184,54,31,29,105,97,377,43,14,38,28,108,19,39,100,137,283
"ENSMUSG00000074195",10,8,0,8,5,0,3,10,0,3,0,5,3,0,1,3,10,9,8,0,10,5,3,4,0,21,9,0,10,0,4,0,3,0,4,11,0,2
"ENSMUSG00000074212",13,10,13,17,15,16,11,7,0,7,21,0,5,11,1,9,14,7,8,12,12,18,9,6,7,3,7,11,7,9,17,8,4,12,13,13,2,14
"ENSMUSG00000074224",4,41,9,5,0,2,5,0,22,10,12,0,5,9,1,1,2,1,0,9,0,4,14,4,10,0,0,0,0,3,11,11,0,0,0,0,14,2
"ENSMUSG00000074227",41,61,38,29,276,11,116,79,10,37,53,51,15,34,77,63,94,56,42,26,100,49,45,35,12,45,16,51,58,11,40,31,49,29,39,22,58,46
"ENSMUSG00000074238",3,4,11,8,1,7,2,4,6,4,4,7,1,7,7,1,7,2,10,6,12,0,28,13,10,2,2,6,3,9,15,6,4,5,7,13,14,2
"ENSMUSG00000074272",68,71,43,107,114,70,94,156,45,74,93,149,173,70,80,101,116,145,129,46,78,133,98,119,49,191,122,33,55,57,53,17,159,55,28,85,101,83
"ENSMUSG00000074300",8,4,11,15,18,2,11,9,0,4,4,5,0,7,5,6,2,12,10,9,12,26,2,10,15,3,9,23,6,9,15,0,1,0,9,4,0,13
"ENSMUSG00000074419",0,0,0,0,1,0,0,7,6,0,0,0,0,0,1,20,0,3,1,0,0,2,2,2,2,2,0,0,0,0,0,0,3,0,0,0,2,0
"ENSMUSG00000074445",100,63,23,27,106,41,85,94,26,90,28,22,20,20,73,35,63,60,47,20,108,99,16,19,0,43,27,103,38,14,30,22,50,7,28,22,24,92
"ENSMUSG00000074527",0,8,19,2,3,93,10,1,13,14,4,11,59,18,25,1,0,1,2,0,0,0,14,10,10,16,25,5,29,9,11,6,11,2,7,2,2,0
"ENSMUSG00000074582",1,6,2,2,11,0,5,4,0,1,9,0,6,5,4,6,4,7,3,0,4,3,0,2,5,3,5,5,4,3,2,0,6,7,0,0,0,7
"ENSMUSG00000074622",20,4,13,3,26,2,19,11,6,6,7,7,15,5,5,3,2,15,5,0,8,37,7,8,10,6,2,33,0,3,11,11,16,5,9,15,4,31
"ENSMUSG00000074653",0,0,0,7,3,0,13,2,0,0,7,5,4,5,4,4,2,0,2,0,0,1,2,0,0,5,9,17,13,0,2,3,1,14,0,0,0,7
"ENSMUSG00000074656",168,89,135,169,186,170,153,197,38,77,194,145,150,149,175,148,300,159,264,86,180,263,141,146,52,224,115,226,200,71,145,45,142,115,72,154,179,177
"ENSMUSG00000074698",13,10,4,13,8,11,16,9,6,1,5,4,6,2,6,7,2,7,17,0,0,7,3,2,2,0,14,7,1,3,13,17,4,7,2,11,12,15
"ENSMUSG00000074715",3,51,28,2,2,9,2,2,6,0,27,0,3,0,0,3,7,9,0,3,44,4,113,94,5,37,2,4,3,111,17,0,0,7,0,0,4,4
"ENSMUSG00000074733",9,4,9,13,2,0,11,7,0,1,11,11,14,14,2,2,5,6,13,6,6,7,7,4,15,8,9,2,12,0,0,6,8,2,9,4,4,0
"ENSMUSG00000074746",5,2,0,3,8,5,7,8,0,7,14,4,19,2,8,16,14,10,2,6,0,11,7,12,2,5,2,10,12,6,8,8,11,2,2,9,0,2
"ENSMUSG00000074748",1,0,11,3,4,7,2,1,0,6,5,7,0,5,6,2,5,5,0,0,0,6,2,4,0,8,5,0,9,6,9,0,2,0,7,0,0,2
"ENSMUSG00000074794",3,4,4,0,12,0,8,8,0,1,0,4,0,0,7,8,8,10,21,0,4,8,0,4,7,0,0,12,19,3,6,0,9,0,0,0,4,5
"ENSMUSG00000074802",9,8,13,12,1,2,4,5,0,1,0,4,1,5,8,3,4,3,9,14,2,2,5,10,20,11,4,2,6,11,15,11,2,7,17,15,8,7
"ENSMUSG00000074892",28,12,11,13,20,11,13,27,13,19,5,5,14,2,6,8,19,12,15,9,22,17,3,2,5,10,9,8,7,14,8,6,12,2,15,15,10,8
"ENSMUSG00000074903",0,2,6,2,2,0,1,1,0,3,2,0,6,0,4,7,1,2,1,0,2,1,7,8,0,2,0,0,0,0,2,0,29,0,0,0,0,0
"ENSMUSG00000074919",1,10,0,3,0,7,0,1,10,6,4,2,9,5,18,0,0,1,21,12,0,0,16,8,5,21,7,1,0,11,9,22,10,12,2,0,10,4
"ENSMUSG00000074994",4,2,8,5,4,7,5,4,6,14,4,13,6,2,16,10,11,4,9,6,2,1,3,6,17,0,2,0,13,9,23,22,3,5,50,4,4,4
"ENSMUSG00000075010",9,10,8,3,18,14,9,15,0,1,0,2,6,0,15,4,4,12,4,6,0,15,3,12,0,3,7,14,3,0,4,0,4,0,13,4,6,14
"ENSMUSG00000075075",1,4,9,0,0,14,2,3,3,3,2,2,9,5,2,1,2,1,0,14,0,0,5,8,27,3,5,0,16,3,8,6,2,2,2,2,4,4
"ENSMUSG00000075122",4,2,0,0,1,0,0,8,3,0,0,5,4,0,1,30,0,10,2,0,0,1,0,0,2,2,0,0,0,0,4,0,5,0,0,2,4,0
"ENSMUSG00000075170",3,8,0,7,0,9,3,2,6,6,2,4,1,7,2,2,5,2,5,9,4,1,2,0,5,3,5,1,6,9,6,8,3,2,0,0,10,1
"ENSMUSG00000075202",0,0,2,2,0,16,2,0,3,3,4,0,72,0,11,0,1,0,1,3,6,0,5,0,0,5,0,0,12,0,2,0,1,2,0,0,0,0
"ENSMUSG00000075254",11,2,8,0,1,0,6,4,3,0,4,2,0,0,4,3,1,6,3,3,0,3,3,0,0,5,2,0,4,3,0,0,3,5,2,0,0,2
"ENSMUSG00000075324",0,4,2,0,1,2,3,1,3,1,0,2,1,0,16,0,1,1,3,6,0,1,23,2,32,2,2,4,4,3,2,6,10,10,2,22,2,0
"ENSMUSG00000075376",9,6,17,22,18,7,17,18,13,9,14,13,19,11,15,20,14,27,12,14,10,17,23,23,27,10,16,5,20,17,19,6,21,31,15,13,8,21
"ENSMUSG00000075470",1,8,4,7,0,2,2,4,13,1,7,5,4,5,6,1,10,2,2,6,4,2,16,10,10,3,2,1,6,17,13,11,3,7,9,4,8,4
"ENSMUSG00000075511",9,16,13,2,5,36,9,4,10,6,2,4,3,5,0,3,5,1,2,9,0,8,0,8,61,11,18,7,6,9,2,14,4,19,9,17,6,13
"ENSMUSG00000075595",13,20,8,0,13,0,9,15,10,13,5,4,4,9,4,9,10,12,0,12,8,8,16,8,20,5,5,11,1,6,9,22,9,7,11,13,10,9
"ENSMUSG00000075602",19,4,6,2,9,5,2,9,0,6,7,9,3,0,5,7,10,9,28,3,8,8,3,10,2,8,0,19,4,9,2,0,12,0,0,0,10,7
"ENSMUSG00000075700",13,0,0,2,8,0,6,7,0,3,4,5,3,7,2,13,5,8,5,0,4,7,0,8,5,6,11,14,9,11,0,3,14,5,13,11,8,12
"ENSMUSG00000075701",4,0,0,3,13,0,3,3,3,0,2,5,1,2,8,6,5,4,1,0,4,12,0,2,0,2,7,8,1,0,2,0,8,0,7,4,0,2
"ENSMUSG00000075703",815,1147,859,1348,39,1120,312,108,878,659,440,609,209,840,533,56,269,84,288,1459,407,113,957,450,1519,633,1182,171,600,474,493,937,266,1352,922,516,1225,243
"ENSMUSG00000077704",5,6,9,20,2,9,20,8,0,9,41,11,6,0,15,8,6,11,2,0,0,8,17,0,10,11,7,17,6,0,4,6,4,5,0,2,10,9
"ENSMUSG00000078153",13,24,11,0,15,5,25,20,0,29,0,2,10,0,10,13,10,40,11,6,12,16,7,15,0,6,11,15,9,0,0,11,20,0,7,4,0,52
"ENSMUSG00000078184",15,12,13,0,14,11,18,19,6,19,36,9,8,5,10,22,16,15,0,17,10,17,10,13,0,14,12,20,7,9,6,6,11,5,11,13,8,26
"ENSMUSG00000078190",1,6,13,13,1,9,6,1,0,4,9,2,10,5,8,3,7,3,5,12,6,2,10,13,15,13,7,4,7,17,8,17,1,0,17,9,14,1
"ENSMUSG00000078427",16,2,6,0,12,5,6,7,13,11,18,4,8,0,8,13,14,14,3,3,16,7,5,12,0,5,0,10,4,9,0,6,19,0,9,13,4,11
"ENSMUSG00000078515",5,8,23,0,12,0,21,18,6,9,4,5,9,7,4,9,6,9,5,6,0,13,2,2,0,3,0,2,4,3,2,0,3,5,7,4,0,6
"ENSMUSG00000078578",33,39,4,34,39,29,40,31,16,27,20,18,56,9,25,38,38,30,29,14,22,28,37,31,22,38,18,32,42,29,45,39,34,24,28,24,28,32
"ENSMUSG00000078580",0,2,4,2,5,2,2,5,0,6,0,0,0,5,1,3,1,6,1,0,4,2,2,2,7,0,5,1,0,3,2,3,3,0,2,0,2,2
"ENSMUSG00000078671",21,6,11,27,24,14,17,41,16,17,21,27,36,5,12,61,18,20,30,12,22,16,17,23,2,24,0,26,25,17,8,22,33,17,17,20,16,20
"ENSMUSG00000078676",6,2,2,2,5,5,7,4,3,0,5,5,5,0,1,2,2,4,1,0,2,5,5,0,5,3,4,4,0,0,2,0,5,7,0,0,2,2
"ENSMUSG00000078763",0,0,2,2,1,14,0,2,0,3,0,0,0,2,2,14,3,8,1,6,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,2,0,0
"ENSMUSG00000078817",0,0,2,2,1,0,0,2,0,0,2,0,6,0,2,16,1,5,1,0,0,2,0,4,2,2,0,1,0,3,4,0,4,0,0,0,0,0
"ENSMUSG00000078920",5,4,0,0,1,5,2,8,0,19,0,2,0,0,5,9,7,4,12,3,0,1,2,0,0,6,2,0,1,3,0,0,7,0,11,2,2,7
"ENSMUSG00000078942",8,4,19,10,20,5,15,8,0,13,4,22,12,14,1,3,11,12,25,0,4,12,3,0,5,0,4,14,10,0,9,11,14,12,17,0,4,7
"ENSMUSG00000078945",3,4,11,34,13,5,16,8,0,1,18,9,9,0,4,7,11,7,3,0,16,8,2,15,0,3,9,2,0,6,2,0,9,5,0,4,16,7
"ENSMUSG00000078962",9,14,13,8,0,11,3,10,13,3,7,5,18,14,7,3,3,5,13,9,14,1,3,12,10,6,12,1,7,26,30,0,4,10,0,4,2,2
"ENSMUSG00000078963",1,0,4,5,3,0,6,1,0,3,0,0,4,2,4,0,0,2,0,0,4,5,0,2,0,0,9,8,6,0,2,3,0,2,17,0,4,13
"ENSMUSG00000079056",0,2,2,3,0,7,1,4,6,1,7,0,20,7,7,2,4,0,9,6,4,1,16,19,2,6,4,0,41,11,42,0,1,0,0,0,8,5
"ENSMUSG00000079065",10,18,28,30,9,5,31,23,19,4,41,33,19,32,10,37,27,17,23,29,12,19,33,21,29,14,25,49,13,9,59,3,30,26,11,28,20,20
"ENSMUSG00000079083",13,2,4,15,6,11,5,5,3,10,28,15,23,9,4,8,12,7,7,3,2,3,14,13,2,18,0,12,10,9,8,0,7,10,11,0,4,4
"ENSMUSG00000079084",3,4,6,2,8,0,8,16,3,3,11,7,13,16,2,23,3,11,11,0,20,8,3,10,5,2,7,8,6,0,9,3,9,22,2,4,6,5
"ENSMUSG00000079111",6,4,0,5,13,0,9,8,0,4,12,9,4,5,7,3,5,7,13,0,8,14,5,10,0,5,2,12,4,6,11,6,4,5,0,4,0,6
"ENSMUSG00000079139",4,0,4,5,7,7,3,7,6,1,0,0,6,9,4,47,15,14,5,3,4,6,3,10,0,10,5,0,4,0,0,0,15,5,2,2,12,0
"ENSMUSG00000079184",3,4,0,7,3,2,3,7,6,7,14,0,8,0,10,8,4,4,3,0,0,4,3,8,0,6,5,19,7,0,2,3,6,10,4,7,8,5
"ENSMUSG00000079215",9,0,9,3,7,7,8,3,3,6,7,11,14,11,2,11,6,9,9,9,6,11,16,15,0,8,9,2,4,6,8,3,8,5,2,7,12,2
"ENSMUSG00000079227",3,6,8,2,1,5,3,2,3,6,4,2,4,7,7,2,3,2,0,12,6,0,7,12,15,5,4,0,3,17,6,14,0,2,2,0,12,1
"ENSMUSG00000079293",0,4,4,0,8,0,2,16,3,0,0,0,8,0,5,67,5,33,2,0,8,3,0,0,2,3,0,0,0,0,0,0,13,0,0,0,8,0
"ENSMUSG00000079330",4,2,75,2,0,7,11,3,0,1,4,4,1,14,10,1,1,1,29,3,8,1,10,6,2,0,4,1,1,20,13,0,1,10,9,22,4,4
"ENSMUSG00000079339",60,47,26,82,47,25,74,79,6,50,14,18,32,9,48,27,40,54,32,17,26,62,30,21,2,49,35,125,25,26,11,8,28,24,11,48,56,99
"ENSMUSG00000079465",6,2,0,2,2,5,6,2,0,0,0,7,4,0,5,14,3,3,2,6,0,5,9,4,10,3,2,7,4,0,4,6,1,5,0,0,6,4
"ENSMUSG00000079470",140,53,107,186,177,97,204,147,38,221,119,100,181,72,128,55,84,179,227,29,138,330,87,83,34,95,246,108,155,31,125,48,193,70,33,74,105,153
"ENSMUSG00000079477",5,6,8,0,18,5,10,17,0,14,0,2,1,5,7,16,10,14,7,12,0,6,9,8,0,11,5,1,0,6,4,6,10,5,24,0,4,0
"ENSMUSG00000079481",3,2,15,8,0,7,2,2,13,1,9,7,4,7,10,6,3,2,4,3,0,1,14,4,12,0,7,1,0,14,4,3,3,0,11,9,10,0
"ENSMUSG00000079509",4,6,4,2,4,2,2,4,10,6,2,29,5,2,1,6,8,2,2,12,2,4,24,2,5,33,4,2,13,6,2,11,4,0,9,4,50,9
"ENSMUSG00000079523",6,2,9,0,13,7,6,8,0,6,4,7,1,0,2,7,16,8,12,0,16,5,7,0,5,6,4,0,6,0,9,11,10,2,0,4,0,1
"ENSMUSG00000079575",3,0,0,0,5,5,6,14,0,0,0,4,6,0,0,35,3,9,0,6,0,3,14,0,0,10,4,2,7,0,0,0,14,0,0,0,0,0
"ENSMUSG00000079620",5,6,8,5,5,7,5,10,6,9,0,20,15,0,2,5,19,4,3,9,4,8,5,0,5,14,7,0,6,0,4,0,8,0,0,2,10,2
"ENSMUSG00000079641",3,0,0,0,9,0,0,1,0,1,0,0,0,5,0,3,5,4,0,0,4,0,0,4,0,0,2,0,0,0,0,0,2,0,4,0,4,2
"ENSMUSG00000079659",0,2,2,5,5,9,2,4,0,3,2,0,3,7,4,3,2,2,1,0,0,5,2,0,2,2,0,7,4,0,0,6,1,2,4,0,0,4
"ENSMUSG00000079671",1,0,9,15,1,5,2,0,13,1,5,4,4,5,6,0,5,1,3,3,4,0,7,10,7,5,2,2,7,9,15,0,1,5,7,4,14,1
"ENSMUSG00000079698",0,39,38,30,0,270,8,2,10,156,0,65,83,158,23,7,209,1,0,3,0,0,3,10,5,2,7,0,1,0,2,0,0,5,2,0,0,1
"ENSMUSG00000080142",4,16,8,5,17,82,10,14,19,29,4,9,67,11,13,8,14,13,9,6,8,10,9,19,15,25,11,15,33,3,11,14,11,5,9,13,6,2
"ENSMUSG00000080237",1,0,11,0,4,9,17,12,13,4,9,11,17,0,12,6,10,10,11,12,4,15,3,12,17,10,9,2,1,9,4,11,4,10,4,2,2,5
"ENSMUSG00000080710",3,2,4,0,0,5,2,1,42,4,14,2,4,2,0,0,3,1,9,17,8,1,3,6,47,3,11,1,46,17,13,11,9,10,28,13,10,5
"ENSMUSG00000080775",8,22,34,15,78,29,32,40,13,7,20,16,17,59,16,108,92,87,27,23,22,48,33,29,12,24,41,19,36,17,23,0,53,24,2,41,34,20
"ENSMUSG00000080806",3,0,0,0,6,0,5,2,6,0,4,0,0,9,0,6,2,2,2,6,0,0,3,4,0,3,4,0,3,0,0,0,4,0,2,0,0,2
"ENSMUSG00000080848",3,8,4,0,10,11,2,9,0,6,0,0,12,5,2,6,9,8,2,0,4,4,17,12,5,3,0,5,3,0,8,0,8,0,2,0,14,7
"ENSMUSG00000080893",3,0,2,3,3,9,3,2,0,3,2,0,3,0,1,7,1,7,1,0,0,0,0,0,0,0,0,4,3,3,0,0,6,0,0,0,6,0
"ENSMUSG00000080979",5,4,8,0,8,5,9,6,0,0,0,0,5,9,2,6,9,4,0,0,0,6,9,0,5,3,0,18,3,0,0,0,0,5,0,4,0,4
"ENSMUSG00000081023",1,2,0,3,2,2,0,1,42,1,5,4,1,0,0,1,4,2,2,17,0,1,2,0,5,5,4,0,1,0,0,70,2,0,0,0,0,1
"ENSMUSG00000081043",1,6,4,2,7,0,2,4,3,4,4,2,1,0,1,2,4,2,1,0,6,3,3,0,0,5,0,4,0,3,2,6,1,0,7,0,4,1
"ENSMUSG00000081113",21,24,15,12,23,14,16,34,6,19,14,18,24,11,18,78,30,69,23,26,20,62,23,15,5,40,37,27,19,34,11,3,32,19,28,37,22,15
"ENSMUSG00000081128",0,2,6,0,2,0,2,0,0,0,5,0,0,9,4,5,3,6,2,0,0,4,0,4,0,0,0,7,0,0,0,0,2,0,0,9,0,2
"ENSMUSG00000081138",3,0,0,3,4,0,1,2,3,0,11,0,5,5,6,4,3,4,5,6,0,2,10,4,2,3,0,1,0,6,2,0,2,7,2,4,2,0
"ENSMUSG00000081167",16,6,23,5,26,7,29,52,10,19,4,5,4,7,16,18,41,11,12,3,26,26,7,8,7,10,2,46,9,0,8,25,10,17,11,11,4,38
"ENSMUSG00000081228",9,0,0,12,6,0,4,6,0,4,4,0,0,7,4,2,3,4,0,0,0,8,0,4,0,3,4,2,0,0,4,6,3,5,0,0,2,2
"ENSMUSG00000081302",0,0,2,5,13,5,2,8,0,4,0,7,9,0,0,22,14,14,3,12,2,12,7,4,0,3,5,11,4,9,2,0,9,5,0,2,4,2
"ENSMUSG00000081314",0,0,8,0,2,5,7,8,0,0,4,0,5,2,0,4,2,3,1,6,0,2,7,0,0,6,0,2,9,0,4,6,3,10,0,4,0,1
"ENSMUSG00000081325",3,2,4,2,8,0,3,5,0,3,0,5,3,0,4,11,5,5,0,0,6,5,2,4,0,2,2,5,1,0,0,0,1,2,0,2,2,4
"ENSMUSG00000081344",10,0,4,0,6,0,1,5,0,3,0,0,1,0,0,7,3,7,0,6,0,6,3,0,0,3,4,2,4,6,4,0,6,10,0,0,0,1
"ENSMUSG00000081359",34,16,38,7,34,5,29,19,6,9,30,13,10,9,27,20,30,43,0,0,20,19,3,12,5,5,11,34,10,11,8,42,14,36,9,33,0,59
"ENSMUSG00000081405",5,0,0,0,3,0,2,7,6,1,2,0,6,0,4,10,3,4,5,0,0,7,0,4,5,0,2,1,0,0,2,0,4,0,0,0,0,1
"ENSMUSG00000081438",21,8,8,10,0,5,10,7,3,7,53,11,10,16,19,0,3,1,0,3,0,7,9,4,0,2,5,11,7,6,6,11,0,12,24,15,2,5
"ENSMUSG00000081490",15,4,6,0,38,9,4,7,0,3,20,0,0,5,13,0,0,5,4,0,4,14,3,4,0,0,4,15,14,0,9,6,4,10,0,4,10,21
"ENSMUSG00000081514",3,12,30,5,5,102,13,10,16,21,7,9,42,11,29,7,15,10,12,0,28,4,16,12,42,16,27,19,29,11,13,8,13,24,26,13,8,2
"ENSMUSG00000081559",25,22,21,0,35,16,31,52,3,9,4,9,5,9,15,22,32,27,8,0,26,28,5,8,7,10,7,53,6,11,9,25,13,14,7,11,8,40
"ENSMUSG00000081583",9,6,4,17,19,11,8,26,6,7,9,9,14,18,12,12,16,16,30,20,8,25,5,8,5,18,5,17,23,6,11,8,10,0,7,4,8,8
"ENSMUSG00000081631",8,4,4,2,14,0,6,14,0,10,0,0,0,2,6,19,7,12,4,3,18,6,2,2,0,2,0,8,3,3,0,14,4,2,2,2,0,6
"ENSMUSG00000081705",0,4,6,0,3,0,3,4,0,4,2,2,3,7,1,5,5,3,1,0,0,4,2,2,2,5,2,2,3,0,0,0,1,2,0,4,0,0
"ENSMUSG00000081718",4,8,2,13,1,7,2,1,45,7,32,25,6,7,1,1,13,3,1,46,20,5,2,27,5,21,5,13,6,17,11,28,1,0,28,0,20,15
"ENSMUSG00000081731",43,55,79,55,141,29,44,95,13,27,45,25,73,63,50,145,85,154,111,17,16,182,68,73,15,65,37,25,36,31,36,20,84,19,48,33,26,19
"ENSMUSG00000081739",5,6,4,2,4,0,9,6,6,4,0,7,4,5,1,6,1,4,2,3,0,3,16,0,0,3,0,5,3,0,2,0,9,7,2,7,4,5
"ENSMUSG00000081788",3,0,0,0,1,5,2,3,0,3,2,11,0,5,6,6,2,5,5,0,0,2,0,8,0,3,4,1,1,0,0,0,3,0,0,4,0,5
"ENSMUSG00000081792",0,0,0,0,6,0,3,0,0,0,0,2,0,0,1,8,9,1,2,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
"ENSMUSG00000081853",4,0,4,10,8,0,6,7,3,9,7,2,5,9,8,15,3,9,14,3,8,15,7,21,0,8,2,1,0,6,0,3,23,0,0,4,6,5
"ENSMUSG00000081855",18,4,4,7,40,5,11,22,3,11,0,4,8,0,1,16,14,31,2,17,8,9,0,8,0,6,2,10,13,11,6,6,10,5,13,0,8,7
"ENSMUSG00000081865",4,2,4,7,20,0,9,12,0,0,0,4,10,11,6,19,20,23,4,3,8,9,12,6,0,3,7,1,12,20,2,6,10,5,0,2,12,4
"ENSMUSG00000081871",26,8,23,20,13,14,36,35,6,17,28,7,24,5,40,26,20,20,21,0,16,30,16,15,5,30,32,29,25,0,19,0,27,10,0,4,8,27
"ENSMUSG00000081895",19,14,17,15,76,2,19,50,10,11,5,7,5,18,8,78,60,71,22,6,22,26,17,8,5,5,25,12,10,9,25,36,28,19,15,9,16,26
"ENSMUSG00000082072",9,6,9,5,10,7,7,12,6,3,5,4,3,5,12,12,7,10,14,9,2,19,10,12,0,10,5,13,9,3,6,0,14,2,2,9,8,1
"ENSMUSG00000082145",3,4,0,0,1,2,4,2,0,0,4,4,0,9,2,2,1,3,4,3,2,2,0,2,25,3,0,7,1,3,0,48,3,2,0,22,4,28
"ENSMUSG00000082179",1,0,9,0,1,0,6,4,3,6,0,4,1,2,2,3,16,2,3,6,4,3,3,2,0,3,0,6,1,0,4,0,3,5,7,4,0,0
"ENSMUSG00000082193",4,2,8,2,7,2,0,2,0,0,2,0,5,0,2,2,2,7,2,3,2,1,0,2,0,3,4,0,6,9,4,0,3,0,0,4,0,1
"ENSMUSG00000082195",3,0,2,0,2,0,4,5,6,1,4,2,5,0,4,12,1,5,0,0,0,5,3,4,0,3,0,2,1,6,0,0,2,0,0,0,0,1
"ENSMUSG00000082258",0,4,4,2,6,2,3,7,0,3,0,5,0,5,0,3,3,7,1,0,0,5,2,2,0,8,0,7,0,0,4,0,3,2,0,0,0,2
"ENSMUSG00000082274",0,4,4,2,5,0,1,5,0,0,4,0,3,0,0,4,3,4,1,0,2,3,0,2,5,0,2,12,0,6,0,0,6,12,4,0,2,7
"ENSMUSG00000082289",3,2,8,2,21,5,3,8,3,4,0,4,3,5,1,15,10,9,3,0,2,6,3,4,2,2,2,7,13,6,2,0,3,7,4,4,0,1
"ENSMUSG00000082319",14,6,11,20,15,7,17,14,0,9,0,5,10,7,10,37,9,27,19,17,2,12,3,6,2,14,7,2,12,3,2,8,16,0,2,4,2,7
"ENSMUSG00000082321",8,8,8,3,10,9,10,11,6,14,4,0,8,0,0,8,5,8,7,12,4,15,9,4,0,6,7,5,3,0,11,6,9,0,4,9,0,1
"ENSMUSG00000082389",3,0,0,0,2,0,4,3,0,3,0,0,0,0,0,4,4,2,0,0,8,7,2,0,0,6,0,2,0,0,2,0,9,0,4,4,4,2
"ENSMUSG00000082454",54,26,17,30,70,14,62,72,10,13,18,42,97,32,27,130,31,77,76,26,24,46,54,38,5,56,18,64,26,40,11,20,85,22,17,22,60,37
"ENSMUSG00000082491",35,36,58,32,82,73,71,99,35,44,32,56,73,74,76,110,97,75,54,35,72,130,65,48,10,81,41,26,85,26,59,34,62,14,9,28,60,46
"ENSMUSG00000082534",6,10,11,5,8,2,14,12,6,13,4,2,12,0,4,22,10,16,5,9,0,20,10,4,5,18,4,2,10,3,9,3,16,5,11,9,10,4
"ENSMUSG00000082674",3,0,4,0,6,5,7,10,0,1,4,4,9,9,2,13,22,6,0,3,0,12,0,10,5,0,4,7,0,3,4,3,6,10,0,13,2,8
"ENSMUSG00000082820",0,0,4,2,3,7,5,7,0,1,0,5,4,5,6,4,7,1,5,0,0,6,0,8,0,3,0,10,9,3,4,0,16,7,0,7,0,0
"ENSMUSG00000082855",4,4,0,3,6,0,4,15,0,4,5,7,6,0,5,19,5,7,7,12,8,8,2,0,0,6,2,6,3,0,0,0,7,2,0,13,0,4
