"Gene.A.Number","Gene.B.Number","Gene.C.Number","bresub","Gene.A.Name","Gene.B.Name","Gene.C.Name","Delta-Gene.A","Delta-Gene.B","Delta-Gene.C","Delta-Pair.AB","Delta-Pair.AC","Delta-Pair.BC","Min.Delta"
33,181,241,0.0241,"Slc30a4","Pard3","Pde4b",0.1471,0.345,0.0898,0.0498,-0.0083,0.0498,-0.0083
33,184,241,0.02,"Slc30a4","Casp1","Pde4b",0.1512,0.4871,0.0939,0.0498,-0.0042,0.0498,-0.0042
33,185,241,0.0219,"Slc30a4","Lypla1","Pde4b",0.1493,0.4523,0.092,0.0498,-0.0061,0.0498,-0.0061
33,188,241,0.0455,"Slc30a4","Col3a1","Pde4b",0.1257,0.332,0.0684,0.0498,-0.0297,0.0498,-0.0297
33,189,241,0.0262,"Slc30a4","Slc9a2","Pde4b",0.145,0.4427,0.0877,0.0498,-0.0104,0.0498,-0.0104
33,190,241,0.0262,"Slc30a4","Il1r2","Pde4b",0.145,0.2146,0.0877,0.0498,-0.0104,0.0498,-0.0104
33,191,241,0.0435,"Slc30a4","Vil1","Pde4b",0.1277,0.3128,0.0704,0.0498,-0.0277,0.0498,-0.0277
33,192,241,0.0108,"Slc30a4","Cxcr2","Pde4b",0.1604,0.2504,0.1031,0.0498,0.005,0.0498,0.005
33,193,241,0.0219,"Slc30a4","Atg16l1","Pde4b",0.1493,0.3732,0.092,0.0498,-0.0061,0.0498,-0.0061
33,194,241,0.035,"Slc30a4","Tnfrsf11a","Pde4b",0.1362,0.4245,0.0789,0.0498,-0.0192,0.0498,-0.0192
33,195,241,0.0447,"Slc30a4","Tfcp2l1","Pde4b",0.1265,0.4441,0.0692,0.0498,-0.0289,0.0498,-0.0289
33,196,241,0.0344,"Slc30a4","Dbi","Pde4b",0.1368,0.4468,0.0795,0.0498,-0.0186,0.0498,-0.0186
33,200,241,0.0114,"Slc30a4","Sell","Pde4b",0.1598,0.3573,0.1025,0.0498,0.0044,0.0498,0.0044
33,205,241,0.019,"Slc30a4","Cat","Pde4b",0.1522,0.258,0.0949,0.0498,-0.0032,0.0498,-0.0032
33,208,241,0.0171,"Slc30a4","Chgb","Pde4b",0.1541,0.438,0.0968,0.0498,-0.0013,0.0498,-0.0013
33,210,241,0.0299,"Slc30a4","Mall","Pde4b",0.1413,0.2361,0.084,0.0498,-0.0141,0.0498,-0.0141
33,211,241,0.0265,"Slc30a4","Bcl2l11","Pde4b",0.1447,0.4603,0.0874,0.0498,-0.0107,0.0498,-0.0107
33,214,241,0.0137,"Slc30a4","Il1a","Pde4b",0.1575,0.2476,0.1002,0.0498,0.0021,0.0498,0.0021
33,215,241,0.0272,"Slc30a4","Pag1","Pde4b",0.144,0.3034,0.0867,0.0498,-0.0114,0.0498,-0.0114
33,217,241,0.0466,"Slc30a4","Car1","Pde4b",0.1246,0.2209,0.0673,0.0498,-0.0308,0.0498,-0.0308
33,219,241,0.0293,"Slc30a4","Pik3ca","Pde4b",0.1419,0.3306,0.0846,0.0498,-0.0135,0.0498,-0.0135
33,220,241,0.0277,"Slc30a4","Mecom","Pde4b",0.1435,0.3854,0.0862,0.0498,-0.0119,0.0498,-0.0119
33,221,241,0.0197,"Slc30a4","Tnik","Pde4b",0.1515,0.3425,0.0942,0.0498,-0.0039,0.0498,-0.0039
33,224,241,0.0493,"Slc30a4","Dclk1","Pde4b",0.1219,0.4453,0.0646,0.0498,-0.0335,0.0498,-0.0335
33,225,241,0.0124,"Slc30a4","Nras","Pde4b",0.1588,0.336,0.1015,0.0498,0.0034,0.0498,0.0034
33,226,241,0.0294,"Slc30a4","Notch2","Pde4b",0.1418,0.1075,0.0845,0.0498,-0.0136,0.0498,-0.0136
33,227,241,0.0231,"Slc30a4","Tpm3","Pde4b",0.1481,0.2932,0.0908,0.0498,-0.0073,0.0498,-0.0073
33,228,241,0.0468,"Slc30a4","Slc35a3","Pde4b",0.1244,0.2955,0.0671,0.0498,-0.031,0.0498,-0.031
33,230,241,0.0258,"Slc30a4","Gclm","Pde4b",0.1454,0.2372,0.0881,0.0498,-0.01,0.0498,-0.01
